caseid,tname,tid
7,SNUADC/PLETH,9f042039ebdd72b489b1bdcc03b3affe29bc3eb6
7,Solar8000/ART_DBP,581fd89a8213a7ce24c7c0a4bf22d8d7a5bf41a2
7,Solar8000/ART_SBP,247d1ab066bf1aabed1532847a3da349c08f201a
28,SNUADC/PLETH,2c0b41ff781b245daeba7de81b80f2b43047310a
28,Solar8000/ART_DBP,778cee9eff7d133f044ba0f51f5ca9b1d8fe30ad
28,Solar8000/ART_SBP,3eb33337347f579bfeab99bd750f31deafe07bc6
237,SNUADC/PLETH,c7604f8c272fbd37ca1f97062c6d3c6ec251fea8
237,Solar8000/ART_DBP,176b888be4f88ec214b4df9fc0cecd25eac768ed
237,Solar8000/ART_SBP,5faf1d4f2b09c54de94cb6c1f19fa89daf7373b0
284,SNUADC/PLETH,fb0a668e8f2c57a44168ed5b3fe471ccaa1b30ce
284,Solar8000/ART_DBP,a504e9827d23e472571328f45575870e6391b917
284,Solar8000/ART_SBP,5cadb966a24b08bf2b29d4c6077db5b8c284f55d
338,SNUADC/PLETH,bf135b0d8e4fac1170d1fd551d4ab02aeeea299c
338,Solar8000/ART_DBP,b7343d374df1735d59a2da476c3b9128f6939377
338,Solar8000/ART_SBP,5c79a4fd9532386819323dc95bb0bebaac81a936
366,SNUADC/PLETH,5a31c512238f3f8a60958662763c1f5c40673cb7
366,Solar8000/ART_DBP,357aec72ad377ded4232ef7c15ff40f3dd414829
366,Solar8000/ART_SBP,4fbabc97cac58d2f5cbeefeccd3e005c397f1678
388,SNUADC/PLETH,6cc1c25fa6186d01f7f1a78ef2db9ff8fd6b85e0
388,Solar8000/ART_DBP,e4e96992750fb1c8ae6f1b6a3dcb90ae5fd8842b
388,Solar8000/ART_SBP,4215542f4cf22cf8149ce7bc6993d2de686ed8e9
445,SNUADC/PLETH,e1361cdfd4d448d2149ecd175e7fbb09f7c6d585
445,Solar8000/ART_DBP,df99797673487c9b5af8a72214766d4c925d1c37
445,Solar8000/ART_SBP,1aabb585e1fcac3d8af1923630bab61f9cb8becb
527,SNUADC/PLETH,29b35a2fbf4a26068d5a075c593be515bd03b52c
527,Solar8000/ART_DBP,1c9842d917f868eb6f4979d76887cba0ffa3ec05
527,Solar8000/ART_SBP,7fc3e08666d1e9342dce2c79b349415e7bbea371
576,SNUADC/PLETH,df1d1d98d0ee6510ce946072003fb77c5e3136e4
576,Solar8000/ART_DBP,77017857f56a0d49bf32ed1193a57d21ef9f91d3
576,Solar8000/ART_SBP,ab5c71cab4b738a262683a6bf5056d4279c770ae
599,SNUADC/PLETH,20669f7bbccecfb0ae0306105dc3cae1049d2d65
599,Solar8000/ART_DBP,6b66982df704ba5e6aec97791e60668706a631f8
599,Solar8000/ART_SBP,957ff7451658720afca97bd914466d7b9bef33f7
611,SNUADC/PLETH,cf74a2367a13ad980e2c3042aebdfbe9c5121687
611,Solar8000/ART_DBP,5230b9446d463caad07651531a11ab9d728fbb04
611,Solar8000/ART_SBP,89e777f8be5836d6a45c0d156185a6ab9411e7e6
620,SNUADC/PLETH,8842c19d6658f2cfaa7ec19d545fd0aafa49bd46
620,Solar8000/ART_DBP,a8ec76e57885d0cae1b6e8bfd4d1d9fc7d3bb43c
620,Solar8000/ART_SBP,e71068ac2e6d3d39ee62b6f0f42bb5dad86fecf6
627,SNUADC/PLETH,8ddab4bc40cd6ac7413bca21443a279b9b32663a
627,Solar8000/ART_DBP,0b54a421362c3325eca37ae9a4eb3b4bf573f835
627,Solar8000/ART_SBP,5c8209607c563292567ecd99dab1a240a42a64df
631,SNUADC/PLETH,78649f4013dc1e428ce1e455f56e72b443760687
631,Solar8000/ART_DBP,6a7d8aa1dc35db99af419ff77955d7b8b67dbab9
631,Solar8000/ART_SBP,4b922fa6dcd0e5610c4adeaa1389298ed9d1ba57
636,SNUADC/PLETH,e4a8e764c67e2dc88e82938b0a365e0bcaef394a
636,Solar8000/ART_DBP,5ba9feaa514106652d18773381dac4c445c846e0
636,Solar8000/ART_SBP,6a9810cf17fbced2a45bdc8d1cd1b6a0b4f8dd2f
658,SNUADC/PLETH,7eae01c65be55b43fc9bd9d0946fbe2d14670524
658,Solar8000/ART_DBP,0a86c8d455123353b9c643ce390240546a622d5e
658,Solar8000/ART_SBP,d43b6d5c2b55077d1f81e5601534594b64208836
740,SNUADC/PLETH,61558ca9b46d52db04ea6f39d9bf2a7a6a0fcee1
740,Solar8000/ART_DBP,19e257fd1c2111a6d09e8e2271f91a126e88bd5e
740,Solar8000/ART_SBP,fda4f44d8aa577e623725f4b2e7063eb8732ee9d
742,SNUADC/PLETH,a612a4e9ccc5c784353e387882351bb40d7571a2
742,Solar8000/ART_DBP,67065971ab1284ff5a5dbfae9e7b18d9509dbe47
742,Solar8000/ART_SBP,1cd52d6e08fcee6f306673cad3db3f0d269e4f68
777,SNUADC/PLETH,3d2a27b7e435047d9c87ab5179cd62cd5f378a19
777,Solar8000/ART_DBP,cac2c4898dbcb9ae62f211f698ea881efff61da2
777,Solar8000/ART_SBP,35d4b21338929284a9fa7237e94aba9f5b06eab8
879,SNUADC/PLETH,77d27709375a014d300d14e101547743c37f7d4a
879,Solar8000/ART_DBP,31c54caaedadf7b187b3bcc294644b4516ca078e
