
--- 2026-09-11T11:43:08.192346+00:00 ---
          dataset_model        method   mae_sbp   mae_dbp  rmse_sbp  rmse_dbp   bias_sbp   bias_dbp  pearson_sbp  pearson_dbp
 winner10s_ambulatory56     zero_shot 18.108191 26.582458 22.517708 28.968115 -15.531724 -26.582458    -0.155138    -0.112184
 winner10s_ambulatory56        offset 13.136726  9.737745 16.655556 11.729218  -0.002625  -0.004014    -0.214394    -0.180925
 winner10s_ambulatory56  affine_ridge 12.046080  9.185168 15.145156 11.478401   0.301507   0.239357    -0.065581    -0.272668
 winner10s_ambulatory56 mean_baseline 11.781998  9.156778 15.007860 11.124712  -0.002561  -0.003680    -0.672959    -0.614237
papagei10s_ambulatory56     zero_shot 19.288195 25.921926 23.541647 28.533779 -17.871555 -25.921926    -0.230131    -0.459958
papagei10s_ambulatory56        offset 12.471091 10.137492 15.643786 12.139430  -0.003863  -0.004257    -0.358983    -0.519031
papagei10s_ambulatory56  affine_ridge 10.542579  7.494491 13.184016 10.123270   0.007685   0.023213     0.443610     0.382986
papagei10s_ambulatory56 mean_baseline 11.781998  9.156778 15.007860 11.124712  -0.002561  -0.003680    -0.672959    -0.614237
   short2s_ambulatory56     zero_shot 20.001150 26.335035 23.917961 28.803490 -18.545010 -26.335035    -0.005755    -0.170937
   short2s_ambulatory56        offset 12.105001  9.834435 15.441596 11.896327  -0.003662  -0.003640    -0.096005    -0.235148
   short2s_ambulatory56  affine_ridge 12.043678  9.203138 14.865006 11.374217   0.145304   0.183340     0.093443    -0.188770
   short2s_ambulatory56 mean_baseline 11.781998  9.156778 15.007860 11.124712  -0.002561  -0.003680    -0.672959    -0.614237
       short2s_ppgbp219     zero_shot 16.911280 11.669128 21.754196 14.628967  -7.894601  -9.614296     0.141820     0.204482
       short2s_ppgbp219        offset 15.813970  8.716823 20.342268 11.063148   0.001089   0.000541     0.128390     0.195956
       short2s_ppgbp219  affine_ridge 15.375820  8.654810 19.868132 10.964773   0.005175   0.004914     0.214878     0.155708
       short2s_ppgbp219 mean_baseline 16.281528  8.745088 20.412016 11.126842   0.001187   0.000695    -0.345138    -0.364475
