backbone_config,view_config,duration_seconds_config,engineered_config,head_config,loss_config,augmentation_config,balance_config,model_width_config,model_depth_config,model_kernel_config,stem_kernel_config,stem_stride_config,dilation_mode_config,channel_attention_config,pooling_config,block_dropout_config,dropout_config,head_hidden_config,huber_beta_config,aux_weight_config,consistency_weight_config,target_weights_config,optimizer_config,scheduler_config,epochs_config,patience_config,batch_size_config,learning_rate_config,weight_decay_config,stage_config,innovation_label_config,run_id,patch_size_config,transformer_depth_config,attention_heads_config,ccc_weight_config,underestimate_penalty_config,focal_weight_config,physiology_weight_config,clinical_head_weight_config,ordinal_head_weight_config,epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,stage_result,backbone_result,view_result,duration_seconds_result,engineered_result,head_result,loss_result,augmentation_result,balance_result,seed,parameters,trainable_parameters,train_samples,eval_samples,runtime_seconds,model_width_result,model_depth_result,model_kernel_result,stem_kernel_result,stem_stride_result,dilation_mode_result,channel_attention_result,pooling_result,block_dropout_result,dropout_result,head_hidden_result,huber_beta_result,aux_weight_result,consistency_weight_result,target_weights_result,optimizer_result,scheduler_result,epochs_result,patience_result,batch_size_result,learning_rate_result,weight_decay_result,innovation_label_result,status,patch_size_result,transformer_depth_result,attention_heads_result,ccc_weight_result,underestimate_penalty_result,focal_weight_result,physiology_weight_result,clinical_head_weight_result,ordinal_head_weight_result
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,4,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d4_none_stats,I200_ARCH_001_0070ac94e2,,,,,,,,,,4,0.6023236133678015,13.127485275268556,8.444669723510742,10.786077499389648,13.127485275268556,16.68722915649414,11.071755409240724,-2.370237112045288,-1.3280478715896606,0.3296605180522383,0.4365968061021651,0.7067047357559204,2965,12.91464900970459,8.180520057678223,403,29.996417999267575,18.69034194946289,3562,11.669843673706056,6.641505241394043,0.0148883374689826,0.9994492381127226,0.241025641025641,0.472991452991453,0.6519658119658119,0.3796581196581196,0.6851282051282052,0.8557264957264957,0.7025536298751831,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,251592,251592,32971,5850,8.877365827560425,64,4,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d4_none_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,4,5,11,4,cycle,eca,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d4_eca_stats,I200_ARCH_002_60c8d80ebf,,,,,,,,,,1,0.7002945829962575,13.096304893493652,8.647171974182129,10.87173843383789,13.096304893493652,16.66438102722168,11.276373863220217,0.1513223648071289,-0.8218079209327698,0.317413854854428,0.3942801518168475,0.7140290141105652,2965,13.478586196899414,8.633234977722168,403,28.48767471313477,18.883678436279297,3562,11.993067741394045,7.024107933044434,0.0,1.0,0.2415384615384615,0.4726495726495726,0.6541880341880342,0.3548717948717949,0.6723076923076923,0.8468376068376068,0.7165460586547852,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,251612,251612,32971,5850,5.116642951965332,64,4,5,11,4,cycle,eca,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d4_eca_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,4,5,11,4,cycle,se,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d4_se_stats,I200_ARCH_003_2e86f85560,,,,,,,,,,1,0.7005412089963292,13.067049980163574,8.610360145568848,10.838705062866213,13.067049980163574,16.6004638671875,11.247052192687988,0.2391344755887985,-0.976202428340912,0.3181562504063751,0.3972067926717293,0.7117263078689575,2965,13.52658462524414,8.566594123840332,403,28.67173194885254,19.066144943237305,3562,11.989357948303224,6.924321174621582,0.0,1.0,0.2388034188034188,0.4726495726495726,0.6538461538461539,0.3591452991452991,0.6777777777777778,0.8497435897435898,0.7144789099693298,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,255976,255976,32971,5850,5.234573602676392,64,4,5,11,4,cycle,se,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d4_se_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,6,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d6_none_stats,I200_ARCH_004_3b8a4c1910,,,,,,,,,,1,0.6973065020040025,13.05770206451416,8.67007827758789,10.863889694213867,13.05770206451416,16.575716018676758,11.342171669006348,-0.7451372146606445,-0.9985758066177368,0.3122704742276722,0.380713182477627,0.7138819694519043,2965,13.247575759887695,8.609177589416504,403,30.019569396972656,19.18108558654785,3562,11.747336387634276,6.976722717285156,0.0,1.0,0.2388034188034188,0.4697435897435897,0.6588034188034187,0.3618803418803419,0.6697435897435897,0.8480341880341881,0.7145862579345703,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,334026,334026,32971,5850,6.188074827194214,64,6,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d6_none_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,6,5,11,4,cycle,eca,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d6_eca_stats,I200_ARCH_005_6e92f23031,,,,,,,,,,1,0.696444305223088,13.037525177001951,8.59334945678711,10.815437316894531,13.037525177001951,16.534032821655273,11.205181121826172,0.747404158115387,-0.476063460111618,0.3223697192132838,0.4015474737598956,0.7102169990539551,2965,13.692791938781738,8.798434257507324,403,28.1630973815918,18.50250816345215,3562,12.098644256591797,7.195968627929688,0.0,1.0,0.2362393162393162,0.4634188034188034,0.6564102564102564,0.3642735042735043,0.674017094017094,0.8504273504273504,0.7168471217155457,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,334056,334056,32971,5850,6.598902940750122,64,6,5,11,4,cycle,eca,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d6_eca_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,6,5,11,4,cycle,se,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d6_se_stats,I200_ARCH_006_4f28a7253b,,,,,,,,,,4,0.6067249632852022,13.01193618774414,8.553696632385254,10.78281593322754,13.01193618774414,16.652114868164062,11.289295196533203,-1.3502812385559082,-1.6838761568069458,0.3354006084794781,0.43057986105025,0.7079012989997864,2965,12.972103118896484,7.952296257019043,403,28.71564292907715,18.62105941772461,3562,11.72512149810791,6.600732803344727,0.0223325062034739,0.997429777859372,0.2521367521367521,0.4748717948717949,0.6591452991452992,0.3851282051282051,0.6817094017094018,0.8512820512820513,0.7015424966812134,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,340602,340602,32971,5850,11.20053482055664,64,6,5,11,4,cycle,se,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d6_se_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,8,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d8_none_stats,I200_ARCH_007_9404ad5336,,,,,,,,,,1,0.6855776039666908,13.062480926513672,8.584135055541992,10.823307991027832,13.062480926513672,16.53143310546875,11.18315887451172,0.8717259168624878,-0.664600133895874,0.3247958210452722,0.4037227096301943,0.710538387298584,2965,13.613801956176758,8.717385292053223,403,27.806865692138672,18.564712524414062,3562,12.09440803527832,7.080580711364746,0.0,1.0,0.2369230769230769,0.4661538461538461,0.6521367521367522,0.3652991452991453,0.6736752136752137,0.8458119658119658,0.7157193422317505,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,416460,416460,32971,5850,7.630681037902832,64,8,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d8_none_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,8,5,11,4,cycle,eca,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d8_eca_stats,I200_ARCH_008_73f727150e,,,,,,,,,,1,0.6888815597739331,12.98237419128418,8.613371849060059,10.79787254333496,12.98237419128418,16.51030921936035,11.159015655517578,-0.7424250245094299,-0.2906502187252044,0.327074144450298,0.4020955915550118,0.7094930410385132,2965,13.11801052093506,8.987513542175293,403,29.265634536743164,18.433338165283203,3562,11.714600563049316,7.288109302520752,0.0,1.0,0.2459829059829059,0.474017094017094,0.6577777777777778,0.3601709401709401,0.6688888888888889,0.8488888888888889,0.7142197489738464,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,416500,416500,32971,5850,8.154453992843628,64,8,5,11,4,cycle,eca,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d8_eca_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,64,8,5,11,4,cycle,se,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w64_d8_se_stats,I200_ARCH_009_a64321f369,,,,,,,,,,1,0.6894281970900159,13.034629821777344,8.624983787536621,10.82980728149414,13.034629821777344,16.51714515686035,11.164897918701172,0.726093053817749,-0.1691775023937225,0.3231427077369945,0.4008543740565023,0.7114161252975464,2965,13.597441673278809,9.083484649658203,403,28.146879196166992,18.32896614074707,3562,12.090377807617188,7.383471488952637,0.0,1.0,0.2389743589743589,0.4623931623931624,0.652991452991453,0.36,0.6676923076923077,0.8471794871794872,0.7199661135673523,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,425228,425228,32971,5850,8.360501527786255,64,8,5,11,4,cycle,se,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w64_d8_se_stats,ok,,,,,,,,,
adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,96,4,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,ARCH,adaptive_w96_d4_none_stats,I200_ARCH_010_ec241a5c84,,,,,,,,,,1,0.6909260479516761,13.135308265686035,8.57814884185791,10.856728553771973,13.135308265686035,16.573619842529297,11.253063201904297,1.609765648841858,-1.4882941246032717,0.3225194349944545,0.4020286939501326,0.7123216986656189,2965,13.960630416870115,8.286735534667969,403,27.496803283691406,19.50103187561035,3562,12.323857307434082,6.666831016540527,0.0,1.0,0.235042735042735,0.4615384615384615,0.6485470085470085,0.3641025641025641,0.6817094017094018,0.8507692307692307,0.7151132225990295,ARCH,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,314159,518248,518248,32971,5850,4.889315605163574,96,4,5,11,4,cycle,none,stats,0.0,0.15,192,0.5,0.35,0.1,"[1.0, 1.0]",adamw,none,5,2,192,0.001,0.0002,adaptive_w96_d4_none_stats,ok,,,,,,,,,
