factor,value,runs,mean_sbp_mae,mean_dbp_mae,mean_of_mean_mae,best_mean_mae,mean_clinical_score,mean_high_bp_sensitivity,mean_runtime_seconds
augmentation,amplitude_warp,10,13.012046527862548,8.50967321395874,10.760859870910645,10.671364784240724,0.7074568569660187,0.0034739454094292,9.768829131126404
augmentation,compound_morphology,10,13.00957498550415,8.519540309906006,10.76455774307251,10.680764198303224,0.7063739418983459,0.0017369727047146,9.363191628456116
augmentation,none,10,13.021512031555176,8.525594329833984,10.773553085327148,10.698467254638672,0.7083545088768005,0.0029776674937965,9.042389488220214
augmentation,mask,10,13.029433727264404,8.519554615020752,10.774494075775149,10.680209159851074,0.7097233355045318,0.003970223325062,9.509808135032651
augmentation,jitter_scale,160,13.098781961202622,8.630828750133514,10.864805310964584,10.711688995361328,0.7134871952235698,0.0025589330024813,9.036411018669606
backbone,conv_transformer_lite,8,13.003952026367188,8.542191624641418,10.773071765899658,10.711688995361328,0.7024623975157738,0.0031017369727047,7.156889706850052
backbone,longconv,8,12.997065901756288,8.615976214408875,10.80652105808258,10.749004364013672,0.7115441188216209,0.0006203473945409,6.28804823756218
backbone,morphology_resnet,16,13.07914811372757,8.58030492067337,10.829726457595823,10.738851547241213,0.7088283970952034,0.0032568238213399,13.046639770269394
backbone,adaptive_resnet,168,13.090811150414604,8.613845257532029,10.852328164236884,10.671364784240724,0.7132364951428913,0.0026734018669502,8.966441707951683
balance,none,200,13.08265393257141,8.608381123542786,10.84551748752594,10.671364784240724,0.7123851883411407,0.0026550868486352,9.113339734077451
channel_attention,se,26,13.064977682553804,8.616205105414757,10.840591430664062,10.754618644714355,0.7112144483969762,0.0023859515174651,10.737422521297749
channel_attention,eca,162,13.08515562834563,8.606037940508054,10.845596737331814,10.671364784240724,0.7124512066811691,0.0028030511901479,8.90009363345158
channel_attention,none,12,13.08717958132426,8.623062133789062,10.855120738347372,10.786077499389648,0.7140305439631144,0.0012406947890818,8.473316053549448
duration_seconds,10.0,164,13.067319416418307,8.589564340870554,10.828441846661452,10.671364784240724,0.7116280158118504,0.0027386067905343,9.448060595407718
duration_seconds,5.0,28,13.133378505706789,8.705669709614344,10.91952405657087,10.84491729736328,0.7150486345802035,0.0019496632399858,5.478023171424866
duration_seconds,15.0,8,13.219475507736206,8.653615117073059,10.936545133590698,10.82791805267334,0.7185851633548737,0.0034119106699751,14.97517004609108
engineered,raw__fusion+scale,8,13.067676663398744,8.58666443824768,10.827170372009276,10.75381565093994,0.7115804776549339,0.0068238213399503,10.048981130123138
engineered,none,184,13.078146794567935,8.60750419160594,10.842825459397355,10.671364784240724,0.7120522898824319,0.0025892760815621,9.116471495317375
engineered,bandpass_robust__fusion,8,13.201295375823976,8.650267243385315,10.92578125,10.828476905822754,0.720846563577652,0.0,8.10566782951355
head,multitask,166,13.081664499030056,8.592037143477475,10.836850786783607,10.671364784240724,0.7118557813655899,0.0025860264880863,9.660804729863822
head,ordinal,2,13.063631534576416,8.66131591796875,10.862473487854004,10.81186866760254,0.7120376825332642,0.0,6.054177284240723
head,clinical,2,13.033489227294922,8.694704055786133,10.864096641540527,10.84705924987793,0.7083560526371002,0.0,6.0869938135147095
head,direct,30,13.092674605051675,8.689533964792888,10.891104221343994,10.790555953979492,0.7156063497066498,0.0033912324234904,6.4897339820861815
loss,multitask,166,13.081664499030056,8.592037143477475,10.836850786783607,10.671364784240724,0.7118557813655899,0.0025860264880863,9.660804729863822
loss,focal_huber,4,13.058531761169434,8.660245895385742,10.859388828277588,10.805259704589844,0.7138263285160065,0.0012406947890818,6.95697146654129
loss,huber,10,13.053028392791749,8.687904357910156,10.870466232299805,10.81186866760254,0.7141150653362274,0.0,6.0232370615005495
loss,physiology_huber,4,13.055497169494627,8.69086217880249,10.87317943572998,10.856748580932615,0.7144311666488647,0.0,5.873706638813019
loss,l1,2,13.05344009399414,8.724597454071045,10.889019012451172,10.87646484375,0.713822990655899,0.0,5.85420286655426
loss,logcosh,2,13.119599342346191,8.677702903747559,10.898651123046877,10.894511222839355,0.7228243947029114,0.0,5.8410245180130005
loss,huber_ccc,8,13.129886507987976,8.68344795703888,10.906667113304138,10.790555953979492,0.7127074375748634,0.0086848635235731,7.019673556089401
loss,asymmetric_high,4,13.150727272033691,8.710599660873413,10.930663585662842,10.866037368774414,0.7199607640504837,0.0068238213399503,6.967858850955963
model_depth,6,128,13.052602209150791,8.595764577388763,10.824183344841003,10.671364784240724,0.7106672027148306,0.0026946339950372,8.834070751443505
model_depth,4,16,13.052655577659609,8.607212126255035,10.829933941364288,10.775177001953123,0.7111066691577435,0.0012406947890818,6.611288517713547
model_depth,8,16,13.08969348669052,8.64534068107605,10.867516994476318,10.79787254333496,0.7158202901482582,0.002016129032258,11.374060928821564
model_depth,7,40,13.188002967834471,8.634437847137452,10.911220359802249,10.75381565093994,0.717020109295845,0.003349875930521,10.103532487154007
model_kernel,15,4,12.95962643623352,8.586717367172241,10.77317190170288,10.749004364013672,0.7069332748651505,0.0006203473945409,6.462367951869965
model_kernel,5,152,13.086227611491555,8.588098375420822,10.837162958948236,10.671364784240724,0.7117107977208338,0.0027915632754342,9.978221057276976
model_kernel,31,4,13.034505367279053,8.645235061645508,10.83987021446228,10.794139862060549,0.7161549627780914,0.0006203473945409,6.1137285232543945
model_kernel,7,40,13.086191558837893,8.683936548233032,10.885063982009887,10.790555953979492,0.715116086602211,0.0025434243176178,6.391849005222321
model_width,64,21,13.028028578985303,8.584345635913667,10.806187084742955,10.711688995361328,0.709452421892257,0.0020087439442278,7.314821890422276
model_width,96,149,13.088610533899908,8.607482922957248,10.84804667402434,10.671364784240724,0.7128889100663613,0.0030143054607224,8.671059747670322
model_width,128,17,13.088638305664062,8.622403761919808,10.855521089890424,10.791221618652344,0.7135433309218463,0.0004378922784994,10.296264971003811
model_width,160,13,13.094797354478102,8.63916514470027,10.866981212909405,10.824505805969238,0.7098348140716553,0.0024813895781637,15.5409446312831
optimizer,radam,8,12.942623734474182,8.448193311691284,10.695408463478088,10.680209159851074,0.7048771753907204,0.0,9.379721462726591
optimizer,sgd,4,13.031501770019531,8.531572580337524,10.781537055969238,10.766433715820312,0.7099154144525528,0.0037220843672456,11.404983162879944
optimizer,nadam,8,13.049338102340698,8.587083578109741,10.81821084022522,10.796930313110352,0.7105023711919785,0.0,7.132644474506378
optimizer,adamw,180,13.091494915220473,8.61815399593777,10.854824415842693,10.671364784240724,0.7128574424319797,0.0028673835125447,9.138606037033927
