epoch,train_loss,mae_sbp,mae_dbp,mean_mae,worst_target_mae,rmse_sbp,rmse_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,selection_score,tail_count,tail_mae_sbp,tail_mae_dbp,high_count,high_mae_sbp,high_mae_dbp,low_count,low_mae_sbp,low_mae_dbp,high_bp_sensitivity,high_bp_specificity,sbp_within_5,sbp_within_10,sbp_within_15,dbp_within_5,dbp_within_10,dbp_within_15,clinical_selection_score,run_id,stage,backbone,view,duration_seconds,engineered,head,loss,augmentation,balance,seed,parameters,trainable_parameters,train_samples,eval_samples,runtime_seconds,outer_fold,candidate_id,status,ordinal
5,0.5843752513523974,12.886335372924805,8.743070602416992,10.814702987670898,12.886335372924805,16.146291732788086,11.170472145080566,-0.6084834337234497,0.2525745630264282,0.4270990541171731,0.4722996694307085,0.72126305103302,3717,13.309881210327148,9.365476608276367,566,25.19977569580078,15.724353790283203,4432,11.97570514678955,7.755984306335449,0.0247349823321554,0.9994076706648896,0.2367809810083344,0.4638611832217516,0.6491323951359476,0.3515507583003142,0.6461265200163957,0.8454706927175843,0.7306309938430786,N200_O1_I200_ARCH_001_0070ac94e2,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,251592,251592,29226,7319,8.143465757369995,1,I200_ARCH_001_0070ac94e2,ok,1
5,0.5841818642772101,12.80075740814209,8.704855918884277,10.752806663513184,12.80075740814209,16.0376033782959,11.105157852172852,-1.1041221618652344,0.3899474442005157,0.4398635401515521,0.4831354209908236,0.717288613319397,3717,13.037383079528809,9.339520454406738,566,25.02774810791016,15.15858268737793,4432,11.775745391845703,7.781792163848877,0.0441696113074204,0.9988153413297792,0.241972947123924,0.4635879218472469,0.6499521792594617,0.3473152069954912,0.6489957644486952,0.8497062440224075,0.7254695296287537,N200_O1_I200_ARCH_002_60c8d80ebf,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,251612,251612,29226,7319,7.624057769775391,1,I200_ARCH_002_60c8d80ebf,ok,2
5,0.5838370856895946,12.879504203796388,8.664548873901367,10.77202606201172,12.879504203796388,16.12016487121582,11.06923484802246,-0.2371578514575958,0.2814300656318664,0.4283952462937759,0.4878539559021909,0.71784508228302,3717,13.36666774749756,9.20695686340332,566,24.37217330932617,15.257055282592772,4432,12.086405754089355,7.677857875823975,0.0565371024734982,0.9985191766622242,0.2422462084984287,0.4619483536002186,0.6473561962016668,0.3499111900532859,0.6517283781937423,0.8514824429566881,0.7268381714820862,N200_O1_I200_ARCH_003_2e86f85560,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,255976,255976,29226,7319,7.75290060043335,1,I200_ARCH_003_2e86f85560,ok,3
5,0.581964293531343,12.965957641601562,8.645696640014648,10.805827140808104,12.965957641601562,16.229299545288086,11.090523719787598,-0.9347374439239502,-0.3849652111530304,0.4116318829556221,0.4825416243937747,0.7194994688034058,3717,13.336085319519045,9.040220260620115,566,26.274526596069336,16.48168182373047,4432,11.926897048950195,7.325379848480225,0.0212014134275618,0.9991115059973346,0.2396502254406339,0.4590791091679191,0.6375187867194972,0.3497745593660336,0.6582866511818555,0.8497062440224075,0.7261514663696289,N200_O1_I200_ARCH_004_3b8a4c1910,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,334026,334026,29226,7319,9.27375864982605,1,I200_ARCH_004_3b8a4c1910,ok,4
5,0.5867525551443785,12.791332244873049,8.737030982971191,10.76418113708496,12.791332244873049,15.976720809936523,11.140121459960938,0.0783610343933105,0.2982871830463409,0.4349994116886365,0.4769360738991784,0.7183457612991333,3717,13.472731590270996,9.33037567138672,566,24.77597999572754,15.541516304016112,4432,12.063931465148926,7.749605178833008,0.0353356890459364,0.9988153413297792,0.2416996857494193,0.4680967345265747,0.6472195655144145,0.3451291159994534,0.6492690258231999,0.8477934144008744,0.7292263507843018,N200_O1_I200_ARCH_005_6e92f23031,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,334056,334056,29226,7319,9.836008071899414,1,I200_ARCH_005_6e92f23031,ok,5
5,0.5833947983832141,12.87639331817627,8.671473503112793,10.773933410644531,12.87639331817627,16.105749130249023,11.117746353149414,-1.5044997930526731,-0.3602170050144195,0.4296695788718443,0.4786035539441184,0.7180421352386475,3717,13.054192543029783,8.988655090332031,566,26.266481399536133,16.2092227935791,4432,11.728075981140137,7.308253288269043,0.0318021201413427,0.9991115059973346,0.2426561005601858,0.4660472742177893,0.6409345539008061,0.3512774969258095,0.6567837136220795,0.8479300450881267,0.7225488424301147,N200_O1_I200_ARCH_006_4f28a7253b,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,340602,340602,29226,7319,10.01286482810974,1,I200_ARCH_006_4f28a7253b,ok,6
1,0.6907088125453276,13.237804412841797,8.58062744140625,10.909215927124023,13.237804412841797,16.474523544311523,11.067734718322754,3.079702615737915,-0.3205179274082184,0.4081242967426877,0.4860509484230819,0.7244638204574585,3717,14.787466049194336,8.88306713104248,566,23.3699951171875,16.076955795288086,4432,13.163491249084473,7.275959491729736,0.0,1.0,0.2315890148927449,0.4470556086897117,0.6310971444186364,0.367946440770597,0.6597895887416314,0.8473835223391174,0.7384549379348755,N200_O1_I200_ARCH_007_9404ad5336,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,416460,416460,29226,7319,6.820844411849976,1,I200_ARCH_007_9404ad5336,ok,7
1,0.6898769077911876,13.410414695739746,8.770246505737305,11.090330123901367,13.410414695739746,16.688331604003906,11.154778480529783,3.671470642089844,1.0846295356750488,0.3993020112432024,0.4841181498477105,0.7371039986610413,3717,15.07034969329834,9.626340866088867,566,22.625030517578125,14.611336708068848,4432,13.503016471862791,8.17937183380127,0.0,1.0,0.2274900942751742,0.4399508129525891,0.6227626724962426,0.3559229402923897,0.6382019401557589,0.8357699139226671,0.7575565576553345,N200_O1_I200_ARCH_008_73f727150e,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,416500,416500,29226,7319,7.3074235916137695,1,I200_ARCH_008_73f727150e,ok,8
5,0.5734256685169694,12.898123741149902,8.785609245300293,10.841866493225098,12.898123741149902,16.165163040161133,11.156601905822754,-1.518660545349121,0.8180657029151917,0.4342933488337385,0.477919659219147,0.7233419418334961,3717,13.082265853881836,9.730775833129885,566,25.241384506225582,15.09639835357666,4432,11.921109199523926,8.12729549407959,0.0406360424028268,0.9994076706648896,0.2490777428610465,0.4619483536002186,0.638611832217516,0.3413034567563874,0.6440770597076103,0.8387757890422188,0.7343434691429138,N200_O1_I200_ARCH_009_a64321f369,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,425228,425228,29226,7319,12.70395565032959,1,I200_ARCH_009_a64321f369,ok,9
1,0.6968730169963213,13.071572303771973,8.614202499389648,10.842887878417969,13.071572303771973,16.301420211791992,11.20799446105957,0.7892253398895264,-1.3619385957717896,0.3976741830353958,0.4776371911079101,0.7211728096008301,3717,14.00771713256836,8.317607879638672,566,25.19145965576172,16.836442947387695,4432,12.488228797912598,6.714055061340332,0.0,1.0,0.2389670720043721,0.4484219155622352,0.6368356332832354,0.3682197021451018,0.6632053559229403,0.8450608006558273,0.7247018218040466,N200_O1_I200_ARCH_010_ec241a5c84,NESTED_INNER_SCREEN,adaptive_resnet,multiview_zscore,10.0,none,multitask,multitask,jitter_scale,none,271829,518248,518248,29226,7319,4.459517240524292,1,I200_ARCH_010_ec241a5c84,ok,10
