method,patients,windows,mae_sbp,mae_dbp,bias_sbp,bias_dbp,pearson_sbp,pearson_dbp,rmse_sbp,pct_sbp_within_5,pct_sbp_within_10,pct_sbp_within_15,rmse_dbp,pct_dbp_within_5,pct_dbp_within_10,pct_dbp_within_15,mae_sbp_ci_low,mae_sbp_ci_high,mae_dbp_ci_low,mae_dbp_ci_high,high_bp_prevalence,direct_sensitivity,direct_specificity,direct_ppv,auprc,auroc,dataset,dataset_model
mimic_source_mean,119.0,2380.0,17.845542907714844,10.447996139526367,-6.726935863494873,-5.582880973815918,,,23.288658142089844,18.10924369747899,35.79831932773109,52.01680672268908,13.701955795288086,32.01680672268908,57.815126050420176,76.42857142857142,16.701263427734375,19.096641540527344,9.731182098388672,11.206642150878906,0.1689075630252101,0.0,1.0,0.0,0.1689075630252101,0.5,VitalDB,
innovation200_zero_shot,119.0,2380.0,18.38926696777344,11.287054061889648,-11.207427978515623,-8.206226348876953,0.2492638574164745,0.2635195099823841,24.349285125732425,18.529411764705884,36.59663865546218,52.52100840336135,14.59606647491455,28.57142857142857,53.57142857142857,72.60504201680672,17.250032424926758,19.58258819580078,10.49032974243164,12.11245822906494,0.1689075630252101,0.0,1.0,0.0,0.312294496086105,0.5951486249239143,VitalDB,
destination_mean_crossfit,119.0,2380.0,17.432701110839844,9.6976900100708,0.0033161719329655,0.0012178180040791,-0.0949351293648221,-0.1028279264316489,22.35283088684082,17.899159663865547,34.87394957983193,52.10084033613446,12.550528526306152,33.403361344537814,60.63025210084033,79.15966386554622,16.373519897460938,18.665607452392575,9.052117347717283,10.388261795043944,0.1689075630252101,0.0,1.0,0.0,0.157558366848375,0.4707604545523143,VitalDB,
innovation200_affine_crossfit,119.0,2380.0,16.482004165649414,9.248252868652344,0.0519075095653533,5.457581573864445e-05,0.2707291230489222,0.2534686296052424,21.476417541503903,18.69747899159664,38.193277310924366,54.6218487394958,12.10583782196045,35.96638655462185,63.31932773109244,81.05042016806723,15.45298671722412,17.686203002929688,8.610472679138184,9.93138313293457,0.1689075630252101,0.0348258706467661,0.9979777553083924,0.7777777777777778,0.3228635329509829,0.6471591737973428,VitalDB,
zero_shot,,,18.108190536499023,26.58245849609375,-15.531723976135254,-26.58245849609375,-0.1551384541829163,-0.1121837051268287,22.51770782470703,,,,28.968114852905277,,,,,,,,,,,,,,winner10s_ambulatory56,winner10s_ambulatory56
offset,,,13.136726379394531,9.73774528503418,-0.0026246479246765,-0.0040136063471436,-0.2143940534910828,-0.1809247991968716,16.655555725097656,,,,11.729217529296877,,,,,,,,,,,,,,winner10s_ambulatory56,winner10s_ambulatory56
affine_ridge,,,12.046079635620115,9.185168266296388,0.3015072643756866,0.239356592297554,-0.0655812786704449,-0.2726675611652038,15.145155906677246,,,,11.478401184082031,,,,,,,,,,,,,,winner10s_ambulatory56,winner10s_ambulatory56
mean_baseline,,,11.781997680664062,9.156778335571287,-0.0025608879514038,-0.0036798205692321,-0.672959444531499,-0.6142374910077415,15.00786018371582,,,,11.124711990356444,,,,,,,,,,,,,,winner10s_ambulatory56,winner10s_ambulatory56
zero_shot,,,19.28819465637207,25.92192649841309,-17.87155532836914,-25.92192649841309,-0.2301311359590397,-0.4599584458165232,23.54164695739746,,,,28.53377914428711,,,,,,,,,,,,,,papagei10s_ambulatory56,papagei10s_ambulatory56
offset,,,12.471091270446776,10.137492179870604,-0.0038627895992249,-0.0042574745602905,-0.3589828716459107,-0.519031215239087,15.643786430358888,,,,12.139430046081545,,,,,,,,,,,,,,papagei10s_ambulatory56,papagei10s_ambulatory56
affine_ridge,,,10.54257869720459,7.494491100311279,0.0076845712028443,0.023213317617774,0.4436104606080242,0.3829861354500614,13.184016227722168,,,,10.12327003479004,,,,,,,,,,,,,,papagei10s_ambulatory56,papagei10s_ambulatory56
