target,lower,upper,n,mae,bias,true_mean,predicted_mean
SBP,-inf,90.0,3968,21.78325080871582,21.78325080871582,83.53462982177734,105.31788635253906
SBP,90.0,120.0,26511,8.484679222106934,3.2679669857025146,105.62495422363281,108.89292907714844
SBP,120.0,140.0,11876,15.314715385437012,-14.811714172363281,128.4547882080078,113.64308166503906
SBP,140.0,160.0,2983,29.558273315429688,-29.558164596557617,147.0614776611328,117.50331115722656
SBP,160.0,inf,351,45.75996780395508,-45.75996780395508,166.74928283691406,120.98932647705078
DBP,-inf,60.0,27049,6.613161087036133,4.992545127868652,50.375179290771484,55.36773681640625
DBP,60.0,80.0,16132,8.585193634033203,-7.633764743804932,67.40045928955078,59.76668930053711
DBP,80.0,90.0,1730,21.916357040405273,-21.913707733154297,83.96178436279297,62.0480842590332
DBP,90.0,100.0,597,30.78672981262207,-30.78672981262207,94.11825561523438,63.33152770996094
DBP,100.0,inf,181,42.29002380371094,-42.29002380371094,104.71989440917969,62.429866790771484
